Wall time,Step,Value,Smoothed
1579532962.04811,65720.00000,-16.79621,5.22381
1579532962.06581,65857.00000,-18.13716,5.33055
1579532962.08055,65587.00000,58.81265,5.43208
1579532962.08201,66451.00000,-14.27674,5.53222
1579532962.09125,65754.00000,-17.68304,5.60300
1579532962.10001,66253.00000,-21.22440,5.54369
1579532962.10155,66116.00000,-84.73718,5.65121
1579533023.85880,132718.00000,-19.93892,5.75336
1579533023.87229,131691.00000,-32.56201,5.70206
1579533023.88126,132728.00000,-16.84842,5.80519
1579533023.88265,131712.00000,-24.22802,5.89828
1579533023.89318,132313.00000,-19.46448,5.83697
1579533089.09305,197178.00000,-11.68813,5.77824
1579533089.11008,198300.00000,-40.36981,5.68467
1579533089.13523,196645.00000,-7.00570,5.79476
1579533167.97408,264190.00000,-16.15736,5.89010
1579533167.98569,263194.00000,-18.31676,5.98949
1579533231.63644,327699.00000,-64.02587,6.08949
1579533231.63703,328383.00000,-11.14038,6.01275
1579533231.64988,328950.00000,81.21238,5.93958
1579533231.65167,328345.00000,-10.11608,5.92934
1579533293.11224,395062.00000,-56.84573,6.03240
1579533354.49284,459533.00000,-53.98413,6.13479
1579533354.50843,460179.00000,-16.08457,6.23217
1579533354.50937,459548.00000,-83.63544,6.08669
1579533415.56437,524648.00000,-95.65133,6.19522
1579533475.29301,590407.00000,-54.17950,6.29966
1579533535.07548,655525.00000,-54.87994,6.18601
1579533535.09848,657350.00000,-75.06282,6.29313
1579533594.14583,722031.00000,-64.56999,6.20151
1579533653.45162,787576.00000,-98.75720,6.31005
1579533653.47447,787830.00000,-59.09305,6.29355
1579533712.41568,852438.00000,-72.75754,6.26282
1579533771.13069,918469.00000,-192.85637,6.27601
1579533771.15977,917701.00000,-66.62983,6.12146
1579533771.16102,919095.00000,-64.42262,6.22057
1579533830.31315,984458.00000,-57.96676,6.32769
1579533830.33337,984932.00000,-59.38555,6.31940
1579533948.70928,1114660.00000,-60.94899,6.41968
1579534007.19935,1179891.00000,61.67662,6.49853
1579534419.42594,1639639.00000,82.25105,6.59841
1579534597.35200,1835223.00000,-55.76335,6.48470
1579534597.36443,1836236.00000,-65.90752,6.58511
1579534656.67798,1900631.00000,-60.78813,6.57538
1579534893.84917,2164687.00000,-36.58104,6.63141
1579534893.84996,2163793.00000,85.32913,6.70945
1579534893.87375,2162934.00000,81.40971,6.61518
1579534953.61438,2229334.00000,81.31624,6.71972
1579534953.63802,2228644.00000,81.85448,6.82502
1579534953.63993,2229401.00000,-59.27835,6.91512
